hit	similarity
efavirenz, lamivudine, and tenofovir disoproxil fumarate	0.48873722553253174
ribociclib succinate	0.4887222349643707
repaglinide and metformin hydrochloride	0.48846083879470825
ponatinib hydrochloride	0.48823821544647217
alpelisib	0.4877208471298218
alosetron hydrochloride	0.48767074942588806
quetiapine fumarate	0.4873955547809601
emtricitabine and tenofovir disoproxil fumarate	0.4872734844684601
belinostat	0.48703551292419434
metformin hydrochloride	0.48669204115867615
olaparib	0.4865763783454895
loratadine and pseudoephedrine sulfate	0.48644036054611206
upadacitinib	0.4862988293170929
fedratinib hydrochloride	0.4860723316669464
advil dual action with acetaminophen	0.4858104884624481
acetaminophen and pentazocine hydrochloride	0.48560187220573425
ixazomib citrate	0.4853746294975281
dextromethorphan hydrobromide and quinidine sulfate	0.48524996638298035
darolutamide	0.4851415753364563
glyburide and metformin hydrochloride	0.48509055376052856
clemastine fumarate	0.48506250977516174
roflumilast	0.4849814176559448
amodiaquine hydrochloride	0.4847787618637085
lamivudine and stavudine	0.4842410981655121
hydrocodone polistirex and chlorpheniramine polistirex	0.4841495752334595
lapatinib ditosylate	0.4840214252471924
fesoterodine fumarate	0.48378023505210876
daclatasvir dihydrochloride	0.48337703943252563
promethazine with codeine	0.4833180010318756
pazopanib hydrochloride	0.4832950234413147
aminophyllin	0.4828617572784424
sulfamethoxazole and trimethoprim and phenazopyridine hydrochloride	0.4828019440174103
ketotifen fumarate	0.4822625517845154
pioglitazone hydrochloride and metformin hydrochloride	0.4822103977203369
norethindrone and ethinyl estradiol and ferrous fumarate	0.4821505844593048
celecoxib	0.48210710287094116
chlordiazepoxide and amitriptyline hydrochloride	0.4820152521133423
abemaciclib	0.4819321036338806
abacavir and lamivudine	0.4816568195819855
lamivudine and zidovudine	0.48150378465652466
triprolidine and pseudoephedrine	0.4812963604927063
trovafloxacin mesylate	0.4811995029449463
galantamine hydrobromide	0.4811931848526001
rolapitant hydrochloride	0.4811685085296631
toremifene citrate	0.4811421036720276
albuterol sulfate and ipratropium bromide	0.48108893632888794
neratinib maleate	0.48066237568855286
tiotropium bromide	0.47995224595069885
tramadol hydrochloride and acetaminophen	0.4798647165298462
relenza	0.4795176386833191
clomipramine hydrochloride	0.4795054495334625
ritonavir	0.47947412729263306
norethindrone acetate and ethinyl estradiol and ferrous fumarate	0.4793813228607178
rilpivirine	0.47838038206100464
telithromycin	0.47834500670433044
thioridazine hydrochloride	0.47829321026802063
thioridazine hydrochloride intensol	0.47829321026802063
paroxetine mesylate	0.4775460958480835
tranylcypromine sulfate	0.47752389311790466
promethazine hydrochloride and dextromethorphan hydrobromide	0.47746291756629944
cimetidine	0.4773445725440979
loperamide hydrochloride and simethicone	0.47712793946266174
sulfamethoxazole and trimethoprim	0.47707343101501465
promethazine hydrochloride and codeine phosphate	0.4769340753555298
norethindrone acetate and ethinyl estradiol and ethinyl estradiol and ferrous fumarate	0.4767027199268341
oxycodone hydrochloride and acetaminophen	0.4762352705001831
nitazoxanide	0.476045697927475
somophyllin	0.47593051195144653
apalutamide	0.4755856394767761
chlorpromazine	0.4751758277416229
tafenoquine succinate	0.4750015437602997
orphenadrine citrate, aspirin, and caffeine	0.4749146103858948
cimetidine hydrochloride	0.4748618006706238
chlorpromazine hydrochloride	0.4748353958129883
chlorpromazine hydrochloride intensol	0.4748353958129883
triprolidine hydrochloride, pseudoephedrine hydrochloride and codeine phosphate	0.4748243987560272
bendamustine hydrochloride	0.4746370017528534
lamivudine, nevirapine and zidovudine	0.47455233335494995
colistin sulfate	0.47450751066207886
aclidinium bromide	0.47392842173576355
osimertinib mesylate	0.47389209270477295
metformin hydrochloride and  sitagliptin phosphate	0.47359752655029297
metformin hydrochloride and sitagliptin phosphate	0.47359752655029297
denavir	0.4735066592693329
midostaurin	0.47345584630966187
cabazitaxel	0.47343969345092773
naproxen sodium and diphenhydramine hydrochloride	0.4732656180858612
telavancin hydrochloride	0.47323042154312134
piperazine citrate	0.47322267293930054
ibuprofen and pseudoephedrine hydrochloride	0.4730823338031769
imipramine hydrochloride	0.472819447517395
saquinavir	0.4727269411087036
thioridazine	0.47261160612106323
loxapine succinate	0.47220578789711
glipizide and metformin hydrochloride	0.4721655249595642
sertraline hydrochloride	0.47136983275413513
fluvoxamine maleate	0.4711352288722992
tazemetostat hydrobromide	0.47072041034698486
milnacipran hydrochloride	0.47063925862312317
abacavir sulfate, lamivudine and zidovudine	0.4704313576221466
iressa	0.47014033794403076
dronedarone hydrochloride	0.4701235592365265
tacrine hydrochloride	0.4700866937637329
trametinib dimethyl sulfoxide	0.4700298309326172
etravirine	0.4698377549648285
tofacitinib citrate	0.4696464538574219
oxycodone hydrochloride and ibuprofen	0.46955469250679016
topotecan hydrochloride	0.46931320428848267
lenvatinib mesylate	0.46890780329704285
olodaterol hydrochloride	0.46871256828308105
propoxyphene napsylate and acetaminophen	0.46863093972206116
protriptyline hydrochloride	0.4684714376926422
diphenhydramine citrate	0.4684712290763855
dacomitinib	0.46844664216041565
trimethoprim sulfate and polymyxin b sulfate	0.4683837294578552
cetirizine hydrochloride and pseudoephedrine hydrochloride	0.4682909846305847
paroxetine hydrochloride	0.46821075677871704
promazine hydrochloride	0.4681360125541687
benztropine mesylate	0.46805909276008606
dutasteride and tamsulosin hydrochloride	0.46789029240608215
panobinostat lactate	0.4677959978580475
chlorothiazide and reserpine	0.46727117896080017
eravacycline dihydrochloride	0.46722736954689026
flutamide	0.4670332372188568
donepezil hydrochloride	0.4669542908668518
tenofovir alafenamide fumarate	0.4669129252433777
bromodiphenhydramine hydrochloride and codeine phosphate	0.46685901284217834
atovaquone	0.4666929244995117
esketamine hydrochloride	0.4666382372379303
desloratadine and pseudoephedrine sulfate 24 hour	0.4666067361831665
azelastine hydrochloride	0.46656838059425354
desipramine hydrochloride	0.4663378596305847
hydroflumethiazide and reserpine	0.46620166301727295
reserpine and hydroflumethiazide	0.46620166301727295
amiloride hydrochloride and hydrochlorothiazide	0.46608901023864746
miconazole nitrate combination pack	0.4660748541355133
gemcitabine hydrochloride	0.46597281098365784
probenecid w/ colchicine	0.4659571647644043
afatinib dimaleate	0.46595415472984314
miconazole 3 combination pack	0.46594464778900146
oxycodone and acetaminophen	0.46592941880226135
darunavir	0.4659041464328766
omeprazole and clarithromycin and amoxicillin	0.46563175320625305
lamivudine, nevirapine, and stavudine	0.46563053131103516
tenapanor hydrochloride	0.46562129259109497
amoxapine	0.46551552414894104
pemetrexed sodium	0.4654446840286255
maprotiline hydrochloride	0.4653800129890442
pseudoephedrine hydrochloride and triprolidine hydrochloride	0.46530258655548096
triprolidine hydrochloride and pseudoephedrine hydrochloride	0.46530258655548096
sorafenib tosylate	0.4650736451148987
ciprofloxacin extended release	0.4648716151714325
rosiglitazone maleate and glimepiride	0.46477508544921875
copanlisib dihydrochloride	0.46471065282821655
hydrocodone bitartrate, chlorpheniramine maleate and pseudoephedrine hydrochloride	0.4646686315536499
tipranavir	0.46458449959754944
levocetirizine dihydrochloride	0.46450915932655334
orphenadrine citrate	0.4644876718521118
propoxyphene hydrochloride w/ aspirin and caffeine	0.4644690155982971
lorlatinib	0.46440374851226807
eribulin mesylate	0.46435901522636414
metocurine iodide	0.4641730487346649
gemifloxacin mesylate	0.46411311626434326
surfaxin	0.4640148878097534
venetoclax	0.4637327194213867
romidepsin	0.46371322870254517
acetaminophen and codeine phosphate	0.4636414349079132
norethindrone and mestranol	0.463413804769516
alatrofloxacin mesylate	0.46333828568458557
cabozantinib s-malate	0.46323567628860474
proguanil hydrochloride	0.46314921975135803
oritavancin diphosphate	0.4631383419036865
fentanyl citrate and droperidol	0.4630647897720337
memantine hydrochloride	0.462929368019104
naloxone hydrochloride and pentazocine hydrochloride	0.46263542771339417
vandetanib	0.46256670355796814
aminoglutethimide	0.4620760679244995
loxapine hydrochloride	0.4620535373687744
darvon compound	0.46192625164985657
idelalisib	0.46177875995635986
fexofenadine hydrochloride and pseudoephedrine hydrochloride	0.4617481827735901
malarone	0.4617125988006592
lapatinib	0.4615052044391632
troglitazone	0.461369127035141
bictegravir sodium	0.46128877997398376
cabazitaxel injection	0.4612884223461151
dabrafenib mesylate	0.46126309037208557
diphenoxylate hydrochloride and atropine sulfate	0.46092870831489563
guaifenesin and dextromethorphan hydrobromide	0.4608592987060547
carisoprodol and aspirin	0.4608311057090759
meclizine hydrochloride	0.46077239513397217
valacyclovir hydrochloride	0.46070554852485657
levocetirizine hydrochloride	0.46068090200424194
sorafenib	0.46065402030944824
benzquinamide hydrochloride	0.4605627655982971
indinavir sulfate	0.4605541527271271
ceftolozane sulfate	0.4604131281375885
fluoxetine hydrochloride	0.4603358805179596
amitriptyline hydrochloride	0.4600997865200043
cyproheptadine hydrochloride	0.4600522518157959
dolutegravir sodium	0.46004486083984375
brompheniramine maleate, pseudoephedrine hydrochloride and dextromethorphan hydrobromide	0.4598044753074646
meperidine and atropine sulfate	0.4597439169883728
proketazine	0.45974379777908325
exemestane	0.45969337224960327
mitoxantrone hydrochloride	0.45960453152656555
imipenem and cilastatin	0.45945608615875244
neomycin and polymyxin b sulfates and hydrocortisone	0.4594189524650574
niraparib tosylate	0.45934051275253296
pralidoxime chloride	0.45925748348236084
miconazole 7 combination pack	0.4591420590877533
palbociclib	0.4590129256248474
naphazoline hydrochloride and pheniramine maleate	0.45886361598968506
netupitant	0.4587227404117584
nilotinib hydrochloride	0.45860204100608826
sulfamethoxazole and trimethoprim double strength	0.4584755301475525
raloxifene hydrochloride	0.4583944082260132
taxol	0.45812708139419556
taxotere	0.4581184983253479
naproxen sodium and pseudoephedrine hydrochloride	0.4581047296524048
trimethoprim hydrochloride	0.45808663964271545
dolasetron mesylate	0.458082914352417
crizotinib	0.4579142928123474
atazanavir sulfate	0.45770058035850525
hydroxyzine pamoate	0.4576159715652466
elvitegravir	0.4576107859611511
hepatamine 8%	0.45758944749832153
oxtriphylline	0.4574030041694641
trabectedin	0.4573947787284851
norethindrone acetate and ethinyl estradiol	0.45730850100517273
cobicistat	0.4570629596710205
tiagabine hydrochloride	0.45701971650123596
pseudoephedrine hydrochloride and chlorpheniramine maleate	0.4566692113876343
butalbital, acetaminophen and caffeine	0.4566382169723511
teduglutide recombinant	0.45662930607795715
theophylline	0.45658522844314575
promethazine	0.45644739270210266
clofarabine	0.45619893074035645
indacaterol maleate	0.45615169405937195
solifenacin succinate	0.456062376499176
dexbrompheniramine maleate and pseudoephedrine sulfate	0.4560532569885254
cariprazine hydrochloride	0.45599693059921265
neomycin and polymyxin b sulfates and dexamethasone	0.45589742064476013
pentamidine isethionate	0.4558678865432739
desvenlafaxine succinate	0.45581498742103577
pacitaxel	0.4557490348815918
glasdegib maleate	0.45567673444747925
doxylamine succinate and pyridoxine hydrochloride	0.4555003345012665
selegiline hydrochloride	0.4549836218357086
promethazine w/ codeine	0.4549676775932312
chloroquine phosphate	0.4548492729663849
ciclesonide	0.45469141006469727
brigatinib	0.4546448588371277
biperiden hydrochloride	0.45463937520980835
hydrocortisone acetate 1% and pramoxine hydrochloride 1%	0.45443347096443176
vilazodone hydrochloride	0.4542984962463379
cefiderocol sulfate tosylate	0.45427215099334717
carfilzomib	0.4542621970176697
safinamide mesylate	0.45422935485839844
lamivudine/zidovudine 150 mg/300 mg tablets co-packaged with nevirapine 200 mg tablets	0.4540557265281677
granisetron hydrochloride preservative free	0.45385265350341797
ticlopidine hydrochloride	0.45371943712234497
vismodegib	0.45361077785491943
trimipramine maleate	0.45359066128730774
propoxyphene compound-65	0.4535212814807892
estradiol and norethindrone acetate	0.4534810185432434
pioglitazone hydrochloride and glimepiride	0.4532925486564636
trazodone hydrochloride	0.45318201184272766
syncurine	0.4531394839286804
ampicillin and sulbactam	0.45303210616111755
methylnaltrexone bromide	0.4529169201850891
dalbavancin hydrochloride	0.4529155492782593
enzalutamide	0.4529060125350952
grepafloxacin hydrochloride	0.4526573419570923
sulfamethoxazole and trimethoprim single strength	0.4526049494743347
tripelennamine citrate	0.45213431119918823
ezetimibe and simvastatin	0.4518401026725769
buprenorphine hydrochloride and naloxone hydrochloride	0.45179620385169983
promethazine vc w/ codeine	0.451673299074173
regorafenib	0.4516069293022156
vinblastine sulfate	0.45160549879074097
guaifenesin and pseudoephedrine hydrochloride	0.45152372121810913
erythromycin ethylsuccinate and sulfisoxazole acetyl	0.45152369141578674
venlafaxine hydrochloride	0.45148783922195435
irinotecan hydrochloride	0.4514694809913635
omadacycline tosylate	0.45143619179725647
invirase	0.4514147937297821
olanzapine pamoate	0.45136603713035583
clonidine hydrochloride and chlorthalidone	0.4513295292854309
dolutegravir	0.45130956172943115
hydrocodone polistirex and chlorpheniramne polistirex	0.45129770040512085
paraplatin	0.45123177766799927
tegaserod maleate	0.4512300491333008
citalopram hydrobromide	0.4511771500110626
norethindrone and ethinyl estradiol	0.4510408341884613
haloperidol decanoate	0.45074397325515747
biperiden lactate	0.4507383704185486
viracept	0.4506397843360901
thalidomide	0.45036882162094116
protopam chloride	0.4502968192100525
ethopropazine hydrochloride	0.4502752721309662
sulindac	0.4502582550048828
eltrombopag olamine	0.45023512840270996
sulfasalazine	0.45017170906066895
cimetidine hydrochloride in sodium chloride 0.9% in plastic container	0.45015987753868103
cerivastatin sodium	0.4499908685684204
orphenadrine hydrochloride	0.4497544765472412
mecasermin rinfabate recombinant	0.449715256690979
trimethobenzamide hydrochloride preservative free	0.4495857357978821
cetirizine hydrochloride	0.449476420879364
sumatriptan and naproxen sodium	0.44945913553237915
loratadine	0.4493758976459503
loratadine redidose	0.4493758976459503
triptorelin pamoate	0.44935667514801025
formoterol fumarate dihydrate	0.44934192299842834
rasagiline mesylate	0.4491855800151825
doxepin hydrochloride	0.4491516947746277
diphenhydramine hydrochloride preservative free	0.4491308927536011
argatroban in 0.9% sodium chloride	0.449086457490921
argatroban in sodium chloride	0.449086457490921
trimethobenzamide hydrochloride	0.4490739107131958
abiraterone acetate	0.44885119795799255
promethazine hydrochloride plain	0.4488278031349182
promethazine hydrochloride	0.44847074151039124
flunisolide	0.4484497904777527
haloperidol lactate	0.4484468996524811
talwin compound	0.4484066069126129
halofantrine hydrochloride	0.44840431213378906
riluzole	0.4483508765697479
auranofin	0.44828569889068604
bisoprolol fumarate and hydrochlorothiazide	0.4482472538948059
cisplatin	0.448198139667511
gyne-lotrimin combination pack	0.44806012511253357
mycelex-7 combination pack	0.44806012511253357
propranolol hydrochloride and hydrochlorothiazide	0.44781479239463806
fluphenazine hydrochloride	0.44779518246650696
pimozide	0.44771358370780945
dasatinib	0.44770753383636475
umeclidinium bromide	0.44767045974731445
paroxetine	0.44757312536239624
ibuprofen lysine	0.44754600524902344
tamoxifen citrate	0.4474460780620575
prucalopride succinate	0.4474388659000397
lansoprazole, amoxicillin and clarithromycin	0.44737136363983154
propoxyphene compound 65	0.44722843170166016
conivaptan hydrochloride	0.4470517337322235
naproxen and esomeprazole magnesium	0.44700634479522705
desogestrel and ethinyl estradiol	0.446876585483551
pomalidomide	0.4468342363834381
ipratropium bromide	0.4468032717704773
metoprolol fumarate	0.4466697871685028
drospirenone and ethinyl estradiol	0.446468710899353
phenelzine sulfate	0.44610413908958435
diphenhydramine hydrochloride	0.44603294134140015
amiloride hydrochloride	0.44598907232284546
rifampin and isoniazid	0.4459325671195984
granisetron hydrochloride	0.4457969069480896
norgestimate and ethinyl estradiol	0.4457380473613739
ketamine hydrochloride	0.44557347893714905
pyridostigmine bromide	0.44552862644195557
chlorphenesin carbamate	0.44535231590270996
levonorgestrel and ethinyl estradiol and ethinyl estradiol	0.44514334201812744
pemetrexed disodium	0.44508326053619385
piperacillin and tazobactam	0.44504767656326294
degarelix acetate	0.4448094666004181
terramycin w/ polymyxin b sulfate	0.4447858929634094
vidarabine	0.4446505308151245
tenofovir disoproxil fumarate	0.4445621967315674
letrozole	0.444486528635025
levomilnacipran hydrochloride	0.44440892338752747
reserpine and hydrochlorothiazide	0.4443456530570984
hydrocodone bitartrate and chlorpheniramine maleate	0.4443203806877136
reserpine, hydrochlorothiazide, and hydralazine hydrochloride	0.44419291615486145
ziprasidone mesylate	0.44417259097099304
pasireotide pamoate	0.44415387511253357
meropenem and sodium chloride in duplex container	0.4441339671611786
quinidine sulfate	0.4441318213939667
pemetrexed	0.4440983831882477
norgestrel and ethinyl estradiol	0.4440908432006836
ibutilide fumarate	0.44404226541519165
pamine	0.44401973485946655
palonosetron hydrochloride	0.4440068006515503
everolimus	0.44359728693962097
delafloxacin meglumine	0.4435281753540039
nevirapine tablets for oral suspension	0.44350287318229675
trimetrexate glucuronate	0.4433808922767639
acyclovir in sodium chloride 0.9% preservative free	0.443349689245224
neomycin and polymyxin b sulfates and gramicidin	0.44329455494880676
combivir	0.44329380989074707
encorafenib	0.443289577960968
ziconotide acetate	0.4432225525379181
phenylephrine hydrochloride and promethazine hydrochloride	0.44311773777008057
promethazine hydrochloride and phenylephrine hydrochloride	0.44311773777008057
asenapine maleate	0.44310152530670166
tolcapone	0.44292131066322327
octreotide acetate preservative free	0.44286125898361206
neomycin and polymyxin b sulfate	0.4428066611289978
triprolidine hydrochloride	0.4427866041660309
yondelis	0.44268736243247986
carisoprodol, aspirin and codeine phosphate	0.4426804184913635
acetaminophen and hydrocodone bitartrate	0.4426713287830353
hydrocodone bitartrate and acetaminophen	0.4426713287830353
omacetaxine mepesuccinate	0.4426358640193939
phrenilin with caffeine and codeine	0.442563533782959
darifenacin hydrobromide	0.442457914352417
octreotide acetate	0.44239360094070435
bitolterol mesylate	0.4423862099647522
lamotrigine	0.4423452317714691
ganirelix acetate	0.4422839283943176
levetiracetam in sodium chloride	0.44224536418914795
skin exposure reduction paste against chemical warfare agents	0.44222742319107056
bismuth subsalicylate, metronidazole and tetracycline hydrochloride	0.44220930337905884
thalomid	0.4421636760234833
altretamine	0.44215723872184753
artemether	0.4421389400959015
vorapaxar sulfate	0.4421050250530243
moxifloxacin hydrochloride in sodium chloride 0.8% in plastic container	0.4420870542526245
ranitidine hydrochloride	0.4419490098953247
hydrocodone bitartrate and ibuprofen	0.441895991563797
plazomicin sulfate	0.4418218731880188
midazolam hydrochloride preservative free	0.4418190121650696
trimethoprim sulfate	0.44171321392059326
triflupromazine hydrochloride	0.4416399598121643
anileridine hydrochloride	0.4415743052959442
quinine sulfate	0.441520094871521
reserpine and hydrochlorothiazide-50	0.4412226378917694
dirithromycin	0.4410781264305115
trandolapril and verapamil hydrochloride	0.44098150730133057
ibuprofen and phenylephrine hydrochloride	0.44095417857170105
didanosine	0.4408990740776062
propafenone hydrochloride	0.4408576488494873
sonidegib phosphate	0.4407966434955597
aptivus	0.44075295329093933
methyclothiazide and deserpidine	0.44060468673706055
ozanimod hydrochloride	0.4405113458633423
meprobamate and aspirin	0.44047319889068604
sulfabenzamide	0.4404154419898987
ruxolitinib phosphate	0.4400259256362915
pramipexole dihydrochloride	0.44001972675323486
ciprofloxacin hydrochloride	0.4399622976779938
promethazine hydrochloride,phenylephrine hydrochloride w/codeine phosphate	0.4398791193962097
haloperidol	0.43981078267097473
haloperidol intensol	0.43981078267097473
pergolide mesylate	0.43971678614616394
iloperidone	0.4396589994430542
anagrelide hydrochloride	0.43953144550323486
codeine, aspirin, apap formula no. 3	0.4395194947719574
promethazine w/ dextromethorphan	0.43947723507881165
bromodiphenhydramine hydrochloride	0.43946945667266846
prochlorperazine maleate	0.4394630491733551
phenyl aminosalicylate	0.4394068419933319
estradiol and norgestimate	0.4393863081932068
macimorelin acetate	0.4393688142299652
ziprasidone hydrochloride	0.43935611844062805
dasabuvir sodium	0.43933621048927307
prasugrel hydrochloride	0.4392203986644745
loxapine	0.4391304850578308
enoxacin	0.4389454126358032
molindone hydrochloride	0.43891459703445435
procyclidine hydrochloride	0.4388965368270874
trospium chloride	0.43862658739089966
cysteine hydrochloride	0.4384572207927704
bivalirudin in 0.9% sodium chloride	0.4384543299674988
ethinyl estradiol and levonorgestrel	0.4383794069290161
levonorgestrel and ethinyl estradiol	0.4383793771266937
simeprevir sodium	0.43826475739479065
raltegravir	0.43825599551200867
icatibant acetate	0.4382486343383789
nortriptyline hydrochloride	0.43822982907295227
rosiglitazone maleate	0.43810439109802246
anisindione	0.4379078447818756
zalcitabine	0.43786269426345825
pyrimethamine	0.43762972950935364
lurasidone hydrochloride	0.4376188814640045
embeline e	0.4376024305820465
prochlorperazine	0.4375232756137848
antitussive	0.437478631734848
olopatadine hydrochloride	0.4374576210975647
meperidine hydrochloride preservative free	0.4374389350414276
ropinirole hydrochloride	0.4374108612537384
lucinactant	0.4373598098754883
valdecoxib	0.437295526266098
neomycin and polymyxin b sulfates and bacitracin zinc	0.43725350499153137
propoxyphene hydrochloride	0.4372066259384155
moxifloxacin hydrochloride	0.43717414140701294
doxorubicin hydrochloride	0.43712204694747925
torisel	0.43710172176361084
soma compound	0.43698063492774963
methocarbamol and aspirin	0.43687528371810913
tirofiban hydrochloride	0.43679600954055786
casodex	0.4367387294769287
methdilazine hydrochloride	0.4366346597671509
oxycodone and aspirin	0.43654006719589233
decitabine	0.4365399181842804
trifluoperazine hydrochloride	0.4365229308605194
tocainide hydrochloride	0.43651989102363586
erythromycin and benzoyl peroxide	0.4364129304885864
linezolid in sodium chloride 0.9% in plastic container	0.4363459646701813
ondansetron hydrochloride preservative free	0.4362400472164154
aminophylline in sodium chloride 0.45%	0.43595200777053833
loperamide hydrochloride	0.43583860993385315
epzicom	0.43582335114479065
theophylline sodium glycinate	0.43575480580329895
abacavir sulfate	0.4357026517391205
bacampicillin hydrochloride	0.43568429350852966
relebactam	0.4356212019920349
cefepime hydrochloride in plastic container	0.4355389475822449
etopophos preservative free	0.43552350997924805
bupropion hydrobromide	0.4353558123111725
cyclobenzaprine hydrochloride	0.4353017508983612
butalbital and acetaminophen	0.43523532152175903
cetirizine hydrochloride hives	0.4352131485939026
bupropion hydrochloride	0.4352042078971863
moricizine hydrochloride	0.43504399061203003
triflupromazine	0.43499523401260376
dimethyl fumarate	0.4348406493663788
vortioxetine hydrobromide	0.4347119927406311
acalabrutinib	0.4346807897090912
idarubicin hydrochloride	0.43452396988868713
entrectinib	0.43451184034347534
acetaminophen, aspirin, and codeine phosphate	0.4344792366027832
butalbital, aspirin, caffeine, and codeine phosphate	0.4344792366027832
diphenoxylate hydrochloride w/ atropine sulfate	0.43446487188339233
bendamustine	0.4342835545539856
ranitidine bismuth citrate	0.43426698446273804
hydrocodone bitartrate and pseudoephedrine hydrochloride	0.43411949276924133
pyrvinium pamoate	0.4341112971305847
dolophine hydrochloride	0.43403103947639465
thiethylperazine malate	0.4339747428894043
dihydroergotamine mesylate	0.4338618814945221
monistat 3 combination pack	0.43372952938079834
extended phenytoin sodium	0.43361154198646545
hydralazine hydrochloride, hydrochlorothiazide and reserpine	0.4335268437862396
hydrochlorothiazide w/ reserpine and hydralazine	0.4335268437862396
penicillin g procaine	0.4334542751312256
sunitinib malate	0.4334087371826172
fluphenazine decanoate	0.43339329957962036
maraviroc	0.43338510394096375
promethazine plain	0.43335697054862976
isentress	0.43319934606552124
cyclizine lactate	0.43319591879844666
rapacuronium bromide	0.433176189661026
lopinavir	0.4331734776496887
codeine, aspirin, apap formula no. 4	0.4331405460834503
estradiol valerate and dienogest	0.4331172704696655
mecasermin recombinant	0.43309932947158813
emadine	0.4330695867538452
neomycin and polymyxin b sulfates, bacitracin zinc and hydrocortisone	0.43304383754730225
terazosin hydrochloride	0.43295055627822876
famotidine preservative free	0.43290096521377563
mirtazapine	0.4328075051307678
fluphenazine hcl	0.4327739179134369
duvelisib	0.4326944947242737
gabapentin enacarbil	0.43269193172454834
nalmefene hydrochloride	0.43262723088264465
butalbital, acetaminophen, caffeine and codeine phosphate	0.43260154128074646
neomycin sulfate and polymyxin b sulfate gramicidin	0.4325832426548004
hydralazine hydrochloride and hydrochlorothiazide	0.4325203001499176
reserpine, hydralazine hydrochloride and hydrochlorothiazide	0.4325203001499176
gyne-lotrimin 3 combination pack	0.4321417510509491
m-zole 3 combination pack	0.4321417510509491
radium ra-223 dichloride	0.4320939779281616
enasidenib mesylate	0.43203580379486084
tizanidine hydrochloride	0.4320164918899536
fluconazole in sodium chloride 0.9%	0.43191075325012207
ecallantide	0.43187612295150757
ergotamine tartrate and caffeine	0.4318467974662781
saxagliptin hydrochloride	0.4316712021827698
fluoxetine	0.4314204156398773
idarubicin hydrochloride pfs	0.43129685521125793
azacitidine	0.4312872290611267
tubocurarine chloride	0.431241512298584
foscavir	0.43107616901397705
amoxicillin and clavulanate potassium	0.4310159981250763
cycloserine	0.4309827387332916
diethylcarbamazine citrate	0.4308953583240509
cycrimine hydrochloride	0.43073588609695435
glycopyrronium tosylate	0.43049952387809753
rivastigmine	0.43043768405914307
acetylcysteine	0.43017011880874634
klonopin rapidly disintegrating	0.4301542341709137
codeine, aspirin, apap formula no. 2	0.4301234185695648
sibutramine hydrochloride	0.4301031827926636
lithium citrate	0.43009573221206665
cefepime hydrochloride	0.430077463388443
lorcaserin hydrochloride	0.4300726652145386
pipecuronium bromide	0.4300075173377991
desloratadine	0.4299951195716858
isoetharine mesylate	0.4299694299697876
thorazine	0.4296071231365204
